State,Falae(APP/AD),Obasanjo(PDP),Total
Abia,175095  32.7,360823  67.3,"535,918"
Abuja,39788  40.2,59234  59.8,"99,022"
Adamawa,177868  21.0,667239  78.9,"845,107"
Akwa Ibom,152534  17.3,730744  82.7,"883,278"
Anambra,199461  23.9,633717  76.1,"833,278"
Bauchi,342233  29.1,834309  70.9,"1,176,542"
Bayelsa,152220  24.4,457812  75.0,"610,032"
Benue,269045  21.5,983912  78.5,"1,252,957"
Borno,334593  36.5,581382  63.5,"915,975"
Cross River,283468  32.2,592688  67.3,"876,156"
Delta,240334  29.4,576230  70.7,"816,574"
Ebonyi,94934  27.4,250987  72.6,"345,921"
Edo,163203  24.0,516581  76.0,"679,784"
Ekiti,522072  73.1,191618  26.8,"713,690"
Enugu,195168  23.4,640418  76.6,"835,586"
Gombe,311381  36.9,533158  63.1,"844,539"
Imo,314339  42.7,421767  57.3,"736,306"
Jigawa,237025  43.2,311571  56.8,"548,596"
Kaduna,381350  22.7,1294679  77.2,"1,676,029"
Kano,222458  24.6,682255  75.4,"904,713"
Katsina,229181  19.2,964216  86.8,"1,193,397"
Kebbi,172336  33.6,339893  66.4,"512,229"
Kogi,476807  48.4,507903  51.6,"984,710"
Kwara,189088  28.7,470510  71.3,"659,598"
Lagos        1,542969  88.1,209012  11.9,"1,751,981"
Nassarawa,173277  29.0,423731  71.0,"397,008"
Niger,140465  16.2,730665  83.9,"871,130"
Ondo,668474  85.0,133323  15.0,"801,797"
Ogun,332340  69.8,143564  30.2,"475,904"
Osun,607628  76.5,187011  23.5,"854,639"
Oyo,693510  75.3,227688  24.7,"921,178"
Plateau,173370  25.8,499072  74.2,"672,442"
Rivers,213328  13.6,1352275  86.4,"1,565,603"
Sokto,198829  56.1,155598  43.9,"354,427"
Taraba,81290  09.3,789749  90.7,"871,039"
Yobe,165061  53.0,146517  47.0,"311,578"
Zamfara,243755  64.1,136324  35.9,"380,079"
